Assignee Id,L1 Centrality,L2-A Centrality,L2-B Centrality,L3 Centrality,L4 Centrality,Global Centrality A,Global Centrality B,Avg Fixed Time,Reopened Percent,Assignee Component,Total Bugs,First Closed Avg Time,Priority/Bug,Severity/Bug
37419,0.00608,0.01032,0.01313,0.08592,0.03757,0.00294272977324316,0.00148994528066409,240.651388888889,2.14669051878354,1,54,240.641944444444,3,2.64814814814815
37799,0.00559,0.00569,0.00637,0.09432,0.04633,0.0265464036951537,0.0240865495824968,3890.5475,2.09545983701979,16,62,3507.63388888889,2.19354838709677,4.2258064516129
37991,0.02324,0.09564,0.10091,0.04886,0.04584,0.0411759800486349,0.000731301855824633,1472.15416666667,1.23456790123457,10,46,1404.30083333333,2.47826086956522,3.41304347826087
38688,0.00431,0.00427,0.00354,0.00163,0.04568,0.00160596083242601,0.0005733063825208,52.3119444444444,0,2,15,52.3119444444444,2.73333333333333,2.53333333333333
38689,0.00763,0.00427,0.00356,0.00587,0.04632,0.0124921961202014,0.00392525223944587,1670.61055555556,0.37243947858473,3,53,1670.61055555556,2.45283018867925,3.09433962264151
39740,0.00004,0.00004,0.00011,0.00101,0.04471,0.00153377480959142,0.00181935755912544,9261.38444444444,0,2,21,9261.38444444444,2.90476190476191,1.95238095238095
40039,0.00147,0.01430,0.00138,0.00285,0.04623,0.0545514991594142,0.00696204024319124,2565.895,0.900900900900901,1,17,2565.895,2.88235294117647,2.52941176470588
41965,0.00294,0.00352,0.00291,0.03120,0.04471,0.00320302764786237,0.0282568947549012,2075.28222222222,3.09597523219814,4,33,1861.45277777778,1.63636363636364,3.6969696969697
42108,0.00134,0.00983,0.00130,0.00673,0.04491,0.0130078714571095,0.00170520355342849,327.522777777778,1.00502512562814,4,16,321.988611111111,2.9375,2.4375
42189,0.00391,0.01032,0.00790,0.07774,0.03999,0.000803700478288276,0.00199582073127915,511.387777777778,3.31491712707182,1,17,511.387777777778,3,3.11764705882353
42222,0.00824,0.01066,0.01736,0.12901,0.04535,0.00158027069024346,0.0241659750866552,800.326944444444,0.961538461538462,3,39,800.326944444444,2.94871794871795,3.28205128205128
43124,0.02165,0.00536,0.00699,0.00934,0.04648,0.0165248816230141,0.00142153848529667,1979.91027777778,0,5,11,1979.91027777778,3,3
43187,0.01789,0.00536,0.00699,0.00689,0.04648,0.0433721652375838,0.00150911538385984,2660.99638888889,0.497512437810945,9,72,2660.99638888889,2.98611111111111,3.11111111111111
43864,0.00343,0.00033,0.00127,0.00023,0.04568,0.00857488106065248,0.00109277622312862,3963.04027777778,0,4,37,3963.04027777778,2.40540540540541,3.16216216216216
43976,0.00106,0.01316,0.00227,0.00278,0.04535,0.0266710169441503,0.0237499807037371,1685.2425,0,2,20,1685.2425,2.9,1.6
44014,0.00493,0.01032,0.01353,0.07760,0.03757,0.0059861048006173,0.0651649794558719,254.193055555556,0,2,24,254.193055555556,3.08333333333333,3.25
44241,0.00815,0.01032,0.00724,0.12807,0.04113,0.00643612259666633,0.00214958497042893,300.791111111111,2.53378378378378,1,120,300.791111111111,2.98333333333333,3.01666666666667
45139,0.00064,0.00427,0.00355,0.00092,0.04568,0.000108270845525784,0.00144392834853604,537.424444444445,0,3,11,537.424444444445,3,3
45335,0.00090,0.01316,0.00227,0.00146,0.04621,0.00443400935384235,0.00407142126101766,2341.27861111111,1.36054421768708,1,11,2341.27861111111,2.81818181818182,2.18181818181818
45667,0.00029,0.00058,0.00015,0.00255,0.02888,0.0208296961882351,0.00721667425602411,871.348611111111,0,2,74,871.348611111111,3,3
46143,0.00629,0.01032,0.01268,0.12793,0.04119,0.0110520478194023,0.00262056968324808,320.050555555555,2.30880230880231,2,75,320.050555555555,3,2.96
46601,0.00723,0.01032,0.01394,0.09254,0.04568,0.0000878998941156718,0.00204141067291071,262.884722222222,0.891861761426979,1,86,262.005833333333,3,3.11627906976744
47083,0.00529,0.01032,0.01385,0.08545,0.03757,0.0026953296798202,0.0463174580449406,307.9175,2.63157894736842,1,14,307.9175,3,2.85714285714286
